area,things,location,size,ciy_part,non_city_part,non_city_sub,date,items,tranf,height,tpye,usage,material,compele_year,tranf_area,house,hall,toilet,part_house,org,total_price,price_per_m,car_tpye,car_area,car_price
北區,房地(土地+建物),臺南市北區立賢路一段650巷31~60號,73.01,住,,,10303,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土構造,0840418,172.46,5,2,3,有,無,6600000,38270,,0.0,0
北區,房地(土地+建物),臺南市北區公園路571~600號,9.01,住,,,10303,土地1建物1車位0,三層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0780410,30.41,1,1,1,有,無,700000,23019,,0.0,0
北區,房地(土地+建物),臺南市北區開元路485巷1~30號,7.3,商,,,10302,土地2建物1車位0,十二層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0701228,60.62,2,1,1,有,有,800000,13197,,0.0,0
安平區,房地(土地+建物),臺南市安平區安平路391~420號,15.63,住,,,10303,土地1建物1車位0,六層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0880208,128.89,3,2,2,有,有,6500000,50431,,0.0,0
中西區,房地(土地+建物),臺南市中西區永華路一段250巷1~30號,21.89,住,,,10303,土地1建物1車位0,四層,007,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0701219,113.13999999999999,3,2,2,有,有,2500000,22097,,0.0,0
中西區,房地(土地+建物),臺南市中西區友愛街361~390號,0.24,商,,,10303,土地1建物1車位0,十一層,011,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0851127,41.54,1,1,1,有,有,1080000,25999,,0.0,0
永康區,房地(土地+建物),臺南市永康區大同街606巷17弄1~30號,92.0,住,,,10304,土地1建物1車位0,全,004,透天厝,住家用,見其他登記事項,1020930,214.5,5,2,4,有,無,11100000,51748,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區中華路661巷1~30號,16.7,住,,,10303,土地1建物1車位1,十層，十一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850408,147.22,3,2,2,有,有,3500000,23774,坡道機械,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區網寮里文化路242巷1~30號,19.82,住,,,10303,土地1建物1車位1,六層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881203,117.57,3,2,2,有,有,3550000,30195,坡道機械,0.0,0
永康區,房地(土地+建物),臺南市永康區大橋一街250巷1~30號,22.62,住,,,10303,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701202,86.34,2,2,1,有,無,2500000,28955,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區網寮里永二街391~420號,19.96,住,,,10304,土地2建物1車位1,十一層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830504,113.53999999999999,3,2,2,有,有,3070000,27039,坡道機械,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區勝利里勝學路211~240號,14.79,住,,,10303,土地1建物2車位1,八層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880701,150.79,4,2,2,有,有,5850000,38796,坡道平面,0.0,0
永康區,房地(土地+建物),臺南市永康區成功路91~120號,18.19,住,,,10303,土地1建物1車位0,一層，二層，騎樓,008,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840516,128.19,2,1,2,有,有,3350000,26133,,0.0,0
永康區,房地(土地+建物),臺南市永康區鹽行路146巷20弄1~30號,126.85,住,,,10303,土地2建物1車位0,全,004,透天厝,見其他登記事項,見其他登記事項,1000106,344.55,20,0,20,有,無,17100000,49630,,0.0,0
